Date,Financials,Resources,Industrials,Consumer Goods
2021-04-08,30620.25,49395.26171875,34777.671875,67571.5625
2021-04-09,30876.47,49455.328125,35103.41015625,67683.546875
2021-04-12,30964.86,48423.26953125,34778.30078125,67676.6328125
2021-04-13,31060.49,48878.8515625,34537.109375,67353.7109375
2021-04-14,31045.49,49686.3203125,34589.48828125,67409.9296875
2021-04-15,31489.34,49574.2890625,34835.37109375,67546.8984375
2021-04-16,31764.49,50665.9609375,35545.83984375,68597.0390625
2021-04-19,31709.06,50263.26171875,35354.26953125,68511.5390625
2021-04-20,31053.73,49446.1484375,34903.98046875,66488.796875
2021-04-21,30921.96,49909.640625,35172.19921875,67030.8203125
2021-04-22,31129.2890625,49515.3515625,35076.1484375,67152.75
2021-04-23,31265.19921875,49942.73046875,35304.41015625,66851.75
2021-04-26,31444.169921875,50442.51171875,35527.55859375,67682.0234375
2021-04-28,31992.419921875,50357.1796875,35592.58984375,67384.21875
2021-04-29,32383.30078125,49852.76171875,35589.19921875,66508.6328125
2021-04-30,31838.5703125,49462.5,35200.16015625,66299.703125
2021-05-03,31430.44921875,49431.0390625,34803.640625,66146.1875
2021-05-04,31238.400390625,49448.98828125,34916.30859375,66073.3828125
2021-05-05,31784.380859375,50648.87109375,35327.01171875,66915.6875
2021-05-06,32253.859375,50452.78125,35112.5390625,67668.28125
